GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ejercicio02,es.UCLM.esi.ISO2.C01.Ejercicio02,Cliente,0,58,0,2,0,23,0,10,0,9
Ejercicio02,es.UCLM.esi.ISO2.C01.Ejercicio02,Cuenta,0,63,2,18,0,17,2,10,0,2
